"Grain yield (kg per ha) of winter wheat in Grant county, OK, USA. Growing season rainfall (mm) was computed from 1-october until 15-june. Year is the year of harvest.",,,
year,county,grain_yield,rainfall
1919,GRANT,1021.596244,602.107
1920,GRANT,1122.411663,477.647
1922,GRANT,678.8238201,389.128
1923,GRANT,860.291574,591.185
1924,GRANT,1021.596244,516.001
1926,GRANT,1169.458858,385.699
1927,GRANT,678.8238201,553.974
1929,GRANT,564.5663454,628.396
1931,GRANT,1196.34297,587.375
1932,GRANT,880.4546578,385.318
1933,GRANT,739.3130714,232.029
1934,GRANT,1095.527551,381.889
1936,GRANT,571.2873734,298.196
1937,GRANT,1142.574747,418.719
1938,GRANT,618.3345688,671.83
1939,GRANT,1371.089696,472.567
1940,GRANT,793.0812948,302.006
1941,GRANT,786.3602669,571.754
1944,GRANT,1270.274277,507.873
1945,GRANT,961.1069928,603.758
1946,GRANT,1236.669138,324.866
1949,GRANT,1021.596244,771.779
1950,GRANT,685.544848,255.651
1951,GRANT,826.6864344,444.881
1953,GRANT,819.9654065,251.587
1954,GRANT,1404.694836,436.118
1955,GRANT,443.5878428,389.255
1957,GRANT,1095.527551,728.726
1958,GRANT,1915.492958,421.513
1960,GRANT,1841.561651,463.296
1961,GRANT,1807.956511,544.957
1962,GRANT,1572.720534,399.034
1963,GRANT,1545.836422,263.398
1964,GRANT,1720.583148,307.848
1967,GRANT,1122.411663,313.817
1968,GRANT,1727.304176,364.998
1969,GRANT,2070.0766,528.066
1970,GRANT,2103.68174,336.042
1971,GRANT,1814.677539,260.604
1972,GRANT,1747.46726,373.126
1973,GRANT,2338.917717,697.23
1974,GRANT,1680.25698,700.278
1975,GRANT,1781.072399,802.513
1976,GRANT,1599.604645,457.581
1977,GRANT,2217.939214,503.936
1980,GRANT,2399.406968,623.57
1982,GRANT,2688.411169,739.267
1983,GRANT,2553.99061,634.619
1984,GRANT,2634.642945,601.472
1985,GRANT,2049.913516,627.888
1986,GRANT,2130.565851,509.778
1987,GRANT,2083.518656,1020.064
1989,GRANT,2164.170991,508.254
1990,GRANT,2271.707438,354.33
1991,GRANT,1673.535953,311.785
1994,GRANT,2056.634544,351.282
1995,GRANT,1310.600445,703.326
1996,GRANT,1108.969607,206.629
1997,GRANT,2722.016308,620.522
1998,GRANT,2621.20089,552.704
1999,GRANT,2217.939214,1119.124
2000,GRANT,2352.359773,585.216
2001,GRANT,2318.754633,548.767
2002,GRANT,1969.261181,397.637
2003,GRANT,2890.042006,508.508
2004,GRANT,2513.664443,542.417
2005,GRANT,2056.634544,512.953
2006,GRANT,1861.724734,362.458
2007,GRANT,1344.205584,641.223
2008,GRANT,2587.59575,641.604
2009,GRANT,1680.25698,612.013
2010,GRANT,2170.892019,548.005
2011,GRANT,1855.003706,284.353
